"","x","yt","yc"
"1",1,4.24422151781619,54.1656274921261
"2",2,-1.55129877105355,48.3701072032563
"3",3,10.3543681390584,60.2757741133682
"4",4,1.97670491039753,51.8981108847074
"5",5,-1.17276480887085,48.748641165439
"6",6,9.88472475111485,59.8061307254247
"7",7,6.89656800404191,56.8179739783518
"8",8,8.65744077786803,58.5788467521779
"9",9,8.33510879520327,58.2565147695132
"10",10,9.15963049978018,59.0810364740901
"11",11,17.9915944105014,67.9130003848113
"12",12,7.85124380886555,57.7726497831754
"13",13,9.71103171538562,59.6324376896955
"14",14,11.2960512898862,61.2174572641961
"15",15,14.2683210736141,64.189727047924
"16",16,13.6785573689267,63.5999633432366
"17",17,17.8472588658333,67.7686648401432
"18",18,8.88657794054598,58.8079839148559
"19",19,17.3748590853065,67.2962650596164
"20",20,24.7938120318577,74.7152180061676
"21",21,16.480957957916,66.4023639322259
"22",22,18.5476655354723,68.4690715097822
"23",23,18.4307755781338,68.3521815524437
"24",24,18.0289285639301,67.95033453824
"25",25,30.2087022084743,80.1301081827842
"26",26,21.7311229640618,71.6525289383717
"27",27,25.8214116264135,75.7428176007234
"28",28,20.327410154976,70.2488161292858
"29",29,38.0136431902647,87.9350491645746
"30",30,28.0202884878963,77.9416944622062
"31",31,28.3052535392344,78.2266595135443
"32",32,31.7897699009627,81.7111758752726
"33",33,29.0447776457295,78.9661836200394
"34",34,33.0332123544067,82.9546183287166
"35",35,42.3502872791141,92.271693253424
"36",36,40.3990202434361,90.320426217746
"37",37,42.1583914551884,92.0797974294983
"38",38,29.4787995908409,79.4002055651508
"39",39,32.8175171939656,82.7389231682755
"40",40,43.5114857926965,93.4328917670064
"41",41,45.51391113922,95.4353171135299
"42",42,44.1427739178762,94.0641798921861
"43",43,48.9990722220391,98.920478196349
"44",44,52.3545541390777,102.275960113388
"45",45,46.88643343281,96.8078394071199
"46",46,49.9359240792692,99.8573300535791
"47",47,37.8427782729268,87.7641842472367
"48",48,53.768787721172,103.690193695482
"49",49,49.7759109232575,99.6973168975674
"50",50,40.1997237373143,90.1211297116242
"51",51,44.9785183826461,94.899924356956
"52",52,45.7442075973377,95.6656135716476
"53",53,54.0383854899555,103.959791464265
"54",54,46.3662693891674,96.2876753634773
"55",55,45.8895317837596,95.8109377580695
"56",56,64.8813209999353,114.802726974245
"57",57,54.301142825745,104.222548800055
"58",58,57.2460738727823,107.167479847092
"59",59,56.334123221226,106.255529195536
"60",60,52.2155792685226,102.136985242832
"61",61,60.7306421725079,110.652048146818
"62",62,69.3773724166676,119.298778390978
"63",63,56.7669220939279,106.688328068238
"64",64,55.884464006871,105.805869981181
"65",65,60.2603475563228,110.181753530633
"66",66,69.1666358793154,119.088041853625
"67",67,62.7761331740767,112.697539148387
"68",68,70.8644621698186,120.785868144128
"69",69,66.4557539075613,116.377159881871
"70",70,61.068900921382,110.990306895692
"71",71,80.0297028981149,129.951108872425
"72",72,71.6718877274543,121.593293701764
"73",73,65.3230028850958,115.244408859406
"74",74,70.1968700774014,120.118276051711
"75",75,76.6204371582717,126.541843132582
"76",76,82.1470266105607,132.068432584871
"77",77,78.8154715467244,128.736877521034
"78",78,76.0244323983788,125.945838372689
"79",79,70.4266274916008,120.348033465911
"80",80,83.518490223214,133.439896197524
"81",81,87.8339335080236,137.755339482334
"82",82,77.7511596521363,127.672565626446
"83",83,89.58459557686,139.50600155117
"84",84,80.4222215535119,130.343627527822
"85",85,76.0687343915924,125.990140365902
"86",86,94.7085337890312,144.629939763341
"87",87,95.6371857486665,145.558591722976
"88",88,97.2145198397338,147.135925814044
"89",89,87.5185493016616,137.439955275971
"90",90,91.8084993213415,141.729905295651
"91",91,96.2306097745895,146.152015748899
"92",92,82.3571144957095,132.278520470019
"93",93,97.2761498875916,147.197555861901
"94",94,92.7120434176177,142.633449391928
"95",95,89.3844161741436,139.305822148453
"96",96,90.107325267978,140.028731242288
"97",97,92.224143047817,142.145549022127
"98",98,102.12192191463,152.04332788894
"99",99,89.4948506783694,139.416256652679
"100",100,91.7143285693601,146.92638926208
